year,ppm,temperature,coal,oil,gas,cement,flaring,other,fossil_total,landuse_sink,landuse_emission,landuse_balance,bio_sink,ocean_sink,atmosphere_growth,res_gas_min,res_gas_max,res_gas_avrg,res_coal_min,res_coal_max,res_coal_avrg,res_oil_min,res_oil_max,res_oil_avrg,res_fossil_min,res_fossil_max,res_fossil_avrg,res_soil_min,res_soil_max,res_soil_avrg,res_veg_min,res_veg_max,res_ver_avrg,res_bio_min,res_bio_max,res_bio_avrg,res_ocean,res_atmosphere,res_permafrost
2049,449.17,1.43,5.33,4.55,2.82,0.56,0.13,0.13,13.53,3.24,4.13,0.89,4.23,3.78,6.87,287.99,1039.99,663.99,256.54,351.54,304.04,11.40,102.40,56.90,555.94,1493.94,1024.94,1617.63,2517.63,2067.63,483.18,683.18,583.18,2100.81,3200.81,2650.81,40586.70,831.54,1671.00
2048,447.59,1.41,5.28,4.51,2.79,0.56,0.13,0.13,13.40,3.22,4.12,0.89,4.19,3.74,6.81,290.81,1042.81,666.81,261.87,356.87,309.37,15.95,106.95,61.45,568.64,1506.64,1037.64,1614.33,2514.33,2064.33,482.25,682.25,582.25,2096.58,3196.58,2646.58,40582.93,824.67,1672.00
2047,446.00,1.39,5.23,4.48,2.76,0.55,0.13,0.13,13.28,3.21,4.11,0.90,4.16,3.71,6.75,293.60,1045.60,669.60,267.16,362.16,314.66,20.47,111.47,65.97,581.23,1519.23,1050.23,1611.06,2511.06,2061.06,481.33,681.33,581.33,2092.39,3192.39,2642.39,40579.18,817.86,1673.00
2046,444.41,1.37,5.19,4.44,2.73,0.55,0.13,0.13,13.16,3.19,4.10,0.91,4.12,3.68,6.69,296.36,1048.36,672.36,272.39,367.39,319.89,24.94,115.94,70.44,593.70,1531.70,1062.70,1607.82,2507.82,2057.82,480.41,680.41,580.41,2088.23,3188.23,2638.23,40575.47,811.12,1674.00
2045,442.82,1.35,5.14,4.40,2.70,0.54,0.13,0.12,13.03,3.17,4.09,0.92,4.09,3.65,6.63,299.10,1051.10,675.10,277.58,372.58,325.08,29.38,120.38,74.88,606.06,1544.06,1075.06,1604.61,2504.61,2054.61,479.50,679.50,579.50,2084.11,3184.11,2634.11,40571.79,804.43,1675.00
2044,441.23,1.33,5.09,4.37,2.67,0.53,0.13,0.12,12.91,3.16,4.08,0.92,4.05,3.62,6.57,301.80,1053.80,677.80,282.71,377.71,330.21,33.79,124.79,79.29,618.30,1556.30,1087.30,1601.42,2501.42,2051.42,478.60,678.60,578.60,2080.02,3180.02,2630.02,40568.14,797.80,1676.00
2043,439.64,1.32,5.04,4.33,2.64,0.53,0.13,0.12,12.79,3.14,4.07,0.93,4.02,3.58,6.51,304.47,1056.47,680.47,287.80,382.80,335.30,38.16,129.16,83.66,630.43,1568.43,1099.43,1598.26,2498.26,2048.26,477.71,677.71,577.71,2075.97,3175.97,2625.97,40564.53,791.23,1677.00
2042,438.05,1.30,4.99,4.30,2.61,0.52,0.13,0.12,12.66,3.12,4.06,0.94,3.98,3.55,6.45,307.11,1059.11,683.11,292.84,387.84,340.34,42.49,133.49,87.99,642.44,1580.44,1111.44,1595.12,2495.12,2045.12,476.83,676.83,576.83,2071.95,3171.95,2621.95,40560.94,784.71,1678.00
2041,436.46,1.28,4.94,4.26,2.58,0.51,0.12,0.12,12.54,3.11,4.05,0.94,3.95,3.52,6.39,309.72,1061.72,685.72,297.84,392.84,345.34,46.79,137.79,92.29,654.34,1592.34,1123.34,1592.02,2492.02,2042.02,475.95,675.95,575.95,2067.97,3167.97,2617.97,40557.39,778.26,1679.00
2040,434.88,1.26,4.90,4.23,2.55,0.51,0.12,0.12,12.42,3.09,4.04,0.95,3.91,3.49,6.34,312.30,1064.30,688.30,302.78,397.78,350.28,51.05,142.05,96.55,666.13,1604.13,1135.13,1588.94,2488.94,2038.94,475.08,675.08,575.08,2064.02,3164.02,2614.02,40553.88,771.87,1680.00
